"課程
Course","資訊
Infoormation","備註
note","通識
GE","選上機率
Probability","重設排序
Reset",系所 Department,課程 Course ID,教室大樓 Building,時間 Time,設課語言 Language,加簽 Extra Enrollment
"AES 510000
專題演講
Colloquium","<人限 Limit / 新生保留 New Only>
55 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
40 / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
吳劍侯	WU, CHIEN-HOU
<教室 Room & 時間 Time>
BMES醫環301	W7W8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限分環所,環境博士學程
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M必修
",-,-,,AES,AES 510000,BMES醫環,W7W8,中文 ZH,O 接受 Allowed
"AES 510100
碩士班專題研究
MS Graduate Research","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
BMES醫環301	W7W8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
指導教授限分環所教師
<限制 Limitation>
限分環所碩士班2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M必修
",-,-,,AES,AES 510100,BMES醫環,W7W8,中文 ZH,O 接受 Allowed
"AES 511100
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
55 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
55 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
吳劍侯	WU, CHIEN-HOU
<教室 Room & 時間 Time>
BMES醫環419	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限分環所碩一學生可選
<限制 Limitation>
限分環所碩士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M必修
",-,-,,AES,AES 511100,BMES醫環,W5W6,中文 ZH,O 接受 Allowed
"AES 520100
環境分析化學
Environmental Analytical Chemistry","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
黃郁棻	HUANG, YU-FEN
<教室 Room & 時間 Time>
BMES醫環501	R5R6R7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
環境科技學程(二)
<學程 Program>

<必選修 Required or Elective>
分環所111M必修/原科院學士班108B選修
",-,-,,AES,AES 520100,BMES醫環,R5R6R7,中文 ZH,O 接受 Allowed
"AES 520300
環境化學
Environment Chemistry","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
董瑞安	DOONG, RUEY-AN
<教室 Room & 時間 Time>
BMES醫環501	M6M7F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程上150分鐘，其餘時間由教授視情形彈性運用
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
環境科技學程(二)
<學程 Program>

<必選修 Required or Elective>
分環所111M必修/原科院學士班108B必修
",-,-,,AES,AES 520300,BMES醫環,M6M7F3F4,英文 EN,O 接受 Allowed
"AES 520400
生態與健康
Ecohealth","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
周秀專	CHOU, HSIU-CHUAN
楊樹森	YANG, SHU-SEN
<教室 Room & 時間 Time>
BMES醫環717	R2R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M必修
",-,-,,AES,AES 520400,BMES醫環,R2R3R4,中文 ZH,O 接受 Allowed
"AES 530200
表面分析技術
Surface Analysis Techniques","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
周子勤	CHOU, TSU-CHIN
<教室 Room & 時間 Time>
BMES醫環618	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M選修/原科院學士班108B選修
",-,-,,AES,AES 530200,BMES醫環,W2W3W4,英文 EN,O 接受 Allowed
"AES 540400
分子光譜學
Molecular Spectroscopy","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
周子勤	CHOU, TSU-CHIN
<教室 Room & 時間 Time>
BMES醫環501	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M選修
",-,-,,AES,AES 540400,BMES醫環,M2M3M4,中文 ZH,O 接受 Allowed
"AES 550200
當代環境醫學特論一
Specific Topic for Contemporary Environmental Medicine (I)","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
周秀專	CHOU, HSIU-CHUAN
<教室 Room & 時間 Time>
BMES醫環105	M2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與老師討論後加簽選課
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M選修
",-,-,,AES,AES 550200,BMES醫環,M2,中文 ZH,O 接受 Allowed
"AES 570100
廢棄物與處理
Waste Management and Treatment","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
王竹方	WANG, CHU-FANG
<教室 Room & 時間 Time>
BMES醫環717	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>
環境科技學程(二)
<學程 Program>
(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程
<必選修 Required or Elective>
分環所111M選修/原科院學士班108B選修/核工所111D選修/核工所111M選修
",-,-,,AES,AES 570100,BMES醫環,T2T3T4,中文 ZH,O 接受 Allowed
"AES 610000
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
BMES醫環717	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限分環所碩二以上
<限制 Limitation>
排除分環所碩士班2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M必修
",-,-,,AES,AES 610000,BMES醫環,T2T3T4,中文 ZH,O 接受 Allowed
"AES 611100
專題書報討論
Seminar","<人限 Limit / 新生保留 New Only>
55 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
40 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
楊樹森	YANG, SHU-SEN
<教室 Room & 時間 Time>
BMES醫環501	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需先修畢書報討論
<限制 Limitation>
限分環所,環境博士學程
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
分環所111M必修
",-,-,,AES,AES 611100,BMES醫環,W5W6,英文 EN,O 接受 Allowed
"AIIM 500100
產學實務專題一
Special Topics on Industrial Practice I","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
BMES醫環501	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程由專班主任開設、指導教授評定成績
<限制 Limitation>
限AI智造暨聯網產碩專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
AI智造暨聯網產碩專班111M必修
",-,-,,AIIM,AIIM 500100,BMES醫環,W5W6,中文 ZH,O 接受 Allowed
"AMEV 500100
產業實務專題(一)
 ","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
BMES醫環501	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
由專班主任開設，指導教授評分
<限制 Limitation>
限電動載具先進製造產碩專班
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
電動載具先進製造產碩專班111M必修
",-,-,,AMEV,AMEV 500100,BMES醫環,W5W6,中文 ZH,O 接受 Allowed
"ANTH 500000
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
BMES醫環501	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限人類所碩三以上同學，Selectable after successfully completing second year's coursework
<限制 Limitation>
排除碩士班1年級2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111M必修
",-,-,,ANTH,ANTH 500000,BMES醫環,W5W6,中文 ZH,O 接受 Allowed
"ANTH 651000
文化人類學專題
Special Topics in Cultural Anthropology","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
許&#28702;文	CHING-WEN HSU
<教室 Room & 時間 Time>
HSS人社C304	R2R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程為16 週課程
<限制 Limitation>
排除大學部1年級2年級3年級4年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D選修/人類所111M必修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 651000,HSS人社,R2R3R4,中文 ZH,O 接受 Allowed
"ANTH 672400
人類學的社群研究
Anthropology of Community Studies","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
呂玫鍰	LU, MEI-HUAN
<教室 Room & 時間 Time>
HSS人社C304	T6T7T8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程為16 週課程
<限制 Limitation>
排除大學部1年級2年級3年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D選修/人類所111M選修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 672400,HSS人社,T6T7T8,中文 ZH,O 接受 Allowed
"ANTH 674200
台灣史前文化
Prehistoric culture of Taiwan","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
邱鴻霖	CHIU, HUNG-LIN
<教室 Room & 時間 Time>
HSS人社C303	R2R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
排除大學部1年級2年級3年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D選修/人類所111M選修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 674200,HSS人社,R2R3R4,中文 ZH,O 接受 Allowed
"ANTH 674300
當代人類處境專題
Contemporary Human Conditions: Anthropological Perspectives","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
林浩立	LIN, HAO-LI
<教室 Room & 時間 Time>
HSS人社C304	F2F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
排除大學部1年級2年級3年級4年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D必修/人類所111M選修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 674300,HSS人社,F2F3F4,中文 ZH,O 接受 Allowed
"ANTH 675700
中國考古學
Chinese Archaeology","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
臧振華	TSANG, CHENG-HWA
<教室 Room & 時間 Time>
HSS人社C304	M6M7M8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
排除大學部1年級2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)藝術學分學程
<必選修 Required or Elective>
人類所111D選修/人類所111M選修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 675700,HSS人社,M6M7M8,中文 ZH,O 接受 Allowed
"ANTH 676800
殖民考古學
The Archaeology of Colonialism","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
8 / -
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
謝艾倫	ELLEN HSIEH
<教室 Room & 時間 Time>
HSS人社C304	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程為16 週課程
<限制 Limitation>
排除大學部1年級2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D選修/人類所111M選修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 676800,HSS人社,T2T3T4,中文 ZH,O 接受 Allowed
"ANTH 678400
自然文化與權力：殖民主義到21世紀資本主義
Nature, Culture, and Power from Colonialism to 21st Century Capitalism","<人限 Limit / 新生保留 New Only>
10 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
8 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
高進榮	GALIPEAU, BRENDAN ARTHUR
<教室 Room & 時間 Time>
HSS人社C303	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程為16 週課程
<限制 Limitation>
排除大學部1年級2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)世界南島暨原住民族學分學程
<必選修 Required or Elective>
人類所111D選修/人類所111M選修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 678400,HSS人社,T2T3T4,英文 EN,O 接受 Allowed
"ANTH 678800
文化人類學田野實習
Fieldwork Training","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
李威宜	LEE, WEI-I
<教室 Room & 時間 Time>
HSS人社C304	F5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需修過人類學方法論
<限制 Limitation>
排除大學部1年級2年級3年級4年級
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 人類學方法論-成績需B-以上上述條件一定要有，則不擋修。
<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D選修/人類所111M必修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 678800,HSS人社,F5,中文 ZH,O 接受 Allowed
"ANTH 678900
考古學田野實習
Archaeological Field Practicum","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
謝艾倫	ELLEN HSIEH
<教室 Room & 時間 Time>
HSS人社C304	F5
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需先修過考古學方法論,上課地點:人社A421
<限制 Limitation>
排除大學部1年級2年級3年級4年級
<擋修 Prerequisite>
擋修對象 : 全校 
先修科目 : 考古學方法論-成績需B-以上上述條件一定要有，則不擋修。
<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111M必修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 678900,HSS人社,F5,中文 ZH,O 接受 Allowed
"ANTH 679500
文化人類學
Advance Cultural Anthropology","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
陳中民	CHEN, CHUNG-MIN
<教室 Room & 時間 Time>
HSS人社C304	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
此為本所乙組:南島英語學程組之必修課
<限制 Limitation>
排除大學部1年級2年級3年級4年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)世界南島暨原住民族學分學程
<必選修 Required or Elective>
人類所111D選修/人類所111M必修/台研教在職學位班111P選修
",-,-,,ANTH,ANTH 679500,HSS人社,W2W3W4,英文 EN,O 接受 Allowed
"ANTH 679600
書報討論：主體性研究
Seminar：Studies of Subjectivity","<人限 Limit / 新生保留 New Only>
3 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
2 / -
<學分數 Credit unit>
2
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
HSS人社C304	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
上課地點: 人社院C616
<限制 Limitation>
限人類所
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111M選修
",-,-,,ANTH,ANTH 679600,HSS人社,W2W3W4,中文 ZH,O 接受 Allowed
"ANTH 679700
台灣考古學
Archaeology of Taiwan","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
王儷螢	LI-YING WANG
<教室 Room & 時間 Time>
HSS人社C304	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>

",-,-,,ANTH,ANTH 679700,HSS人社,M2M3M4,英文 EN,O 接受 Allowed
"ANTH 800000
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
HSS人社C304	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限人類所博三以上同學，Selectable after successfully completing second year's coursework.
<限制 Limitation>
排除博士班1年級2年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
人類所111D必修
",-,-,,ANTH,ANTH 800000,HSS人社,M2M3M4,中文 ZH,O 接受 Allowed
"ASTR 500100
專題研究--天文教學二
Special Topic on Teaching Astronomy (II)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
HSS人社C304	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111D選修/天文所111M選修
",-,-,,ASTR,ASTR 500100,HSS人社,M2M3M4,中文 ZH,O 接受 Allowed
"ASTR 530000
星系天文學
Galactic Astronomy","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
安德魯˙古柏	COOPER, ANDREW PAUL
<教室 Room & 時間 Time>
GEN II綜二521	T6T7T8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111D必修/天文所111M必修
",-,-,,ASTR,ASTR 530000,GEN II綜二,T6T7T8,英文 EN,O 接受 Allowed
"ASTR 591000
專題演講一
Colloquium (I)","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
何英宏	Daniel Harsono
<教室 Room & 時間 Time>
GEN II綜二521	F6F7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111D必修/天文所111M必修
",-,-,,ASTR,ASTR 591000,GEN II綜二,F6F7,英文 EN,O 接受 Allowed
"ASTR 600700
天文物理的前沿一
Frontier of Astrophysics Seminars I","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
後藤友嗣	GOTO, TOMOTSUGU
<教室 Room & 時間 Time>
GEN II綜二501	TnWnRn
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111D選修/天文所111M選修
",-,-,,ASTR,ASTR 600700,GEN II綜二,TnWnRn,英文 EN,O 接受 Allowed
"ASTR 610000
天文觀測
Observational Astronomy","<人限 Limit / 新生保留 New Only>
15 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
8 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
江國興	ALBERT KONG
<教室 Room & 時間 Time>
GEN II綜二521	W6W7W8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(台聯大)太空科技與工程學分學程
<必選修 Required or Elective>
天文所111D必修/天文所111M必修
",-,-,,ASTR,ASTR 610000,GEN II綜二,W6W7W8,英文 EN,O 接受 Allowed
"ASTR 660000
計算天文物理
Computational Astrophysics","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
楊湘怡	YANG, HSIANG-YI
<教室 Room & 時間 Time>
GEN II綜二501	R6R7R8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>

<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111D選修/天文所111M選修
",-,-,,ASTR,ASTR 660000,GEN II綜二,R6R7R8,英文 EN,O 接受 Allowed
"ASTR 691000
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
GEN II綜二501	R6R7R8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限天文所碩二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除天文所碩士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111M必修
",-,-,,ASTR,ASTR 691000,GEN II綜二,R6R7R8,中文 ZH,O 接受 Allowed
"ASTR 992000
論文研究
Thesis","<人限 Limit / 新生保留 New Only>
- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
- / -
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
指導教授	
<教室 Room & 時間 Time>
GEN II綜二501	R6R7R8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限天文所博二以上同學，Selectable after successfully completing first year's coursework
<限制 Limitation>
排除博士班1年級
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
天文所111D必修
",-,-,,ASTR,ASTR 992000,GEN II綜二,R6R7R8,中文 ZH,O 接受 Allowed
"BAI 700100
統計與機器學習概論一
Introduction of Statistics and Machine Learning (I)","<人限 Limit / 新生保留 New Only>
20 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
18 / -
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
楊立威	YANG, LEE-WEI
羅中泉	LO, CHUNG-CHUAN
張筱涵	CHANG, HSIAO-HAN
<教室 Room & 時間 Time>
GEN II綜二614	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程為 16 週課程。限大三以上修習
<限制 Limitation>
電資院,工學院,生科院,原科院,智慧生醫博士學程優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>
(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程
<必選修 Required or Elective>
智慧生醫博士學程111D必修
",-,-,,BAI,BAI 700100,GEN II綜二,T2T3T4,英文 EN,O 接受 Allowed
"BAI 700300
專題演講
Colloquium","<人限 Limit / 新生保留 New Only>
40 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
39 / -
<學分數 Credit unit>
1
<授課語言 Language>
英文 EN
<教師 Instructor>
楊立威	YANG, LEE-WEI
<教室 Room & 時間 Time>
GEN II綜二104	T5T6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
課程為 16 週課程。
<限制 Limitation>
電資院,工學院,生科院,原科院,智慧生醫博士學程優先，第3次選課起開放全校修習
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
智慧生醫博士學程111D必修
",-,-,,BAI,BAI 700300,GEN II綜二,T5T6,英文 EN,O 接受 Allowed
"BAI 700600
實驗輪轉一
Lab Rotation (I)","<人限 Limit / 新生保留 New Only>
3 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
2 / -
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>

<教室 Room & 時間 Time>
GEN II綜二104	T5T6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
 
<限制 Limitation>
限智慧生醫博士學程
<擋修 Prerequisite>

<專長 Speciality>

<學程 Program>

<必選修 Required or Elective>
智慧生醫博士學程111D必修
",-,-,,BAI,BAI 700600,GEN II綜二,T5T6,中文 ZH,O 接受 Allowed
